TALK_CODE,TALK_CHAR_NAME,TALK_NAEYONG,TALK_MOVE
0,3,"거기 잠깐!\n그래, 너 말이야!",-1
1,3,"저기 나무 위쪽에 뭔가 이상한 기운을 뿜어내는 게 있는데, 가서 확인 좀 해주라.",-1
2,3,위험한 건 아닌 것 같은데… 왠지 너하고 비슷한 기운이야.,-1
3,3,부탁 좀 할게.\n여기 남은 식량창고를 정리하는데 신경 쓰여 죽겠단 말이야.,-25
4,3,아직이야? 얼른 확인하고 말해 줘!,-25
5,3,"…\n오오, 그건 예전에 여기 살던 인간들의 기억, 뭐 그런 게 아닐까?",-1
6,3,인간은 숲 바깥에서 무리 지어 사는 동물들이야.,-1
7,3,그걸 흡수했다고 했지? 네 힘이 더 강해진 느낌이야.\n어쩌면 그걸 모아 뭔가 엄청난 일을 할 수 있을지도!,-25
8,3,"거기 잠깐!\n그래, 너 말이야!",-1
9,3,그쪽에 뭔가 이상한 기운을 뿜어내는 게 있었을 텐데.,-1
10,3,"…\n오오, 그건 예전에 여기 살던 인간들의 기억, 뭐 그런 게 아닐까?",-1
11,3,인간은 숲 바깥에서 무리 지어 사는 동물들이야.,-1
12,3,그걸 흡수했다고 했지? 네 힘이 더 강해진 느낌이야.\n어쩌면 그걸 모아 뭔가 엄청난 일을 할 수 있을지도!,-25
13,3,인간들은 우리를 별로 안 좋아해.\n같은 동물인데 왜 그럴까?,-1
14,3,요즘은 안보이긴 하지만 그래도 조심해.,-25
